decision_year,decision_date,holding_end_exclusive,gross_return,estimated_cost_brl,estimated_cost_rate,net_return,opening_wealth_brl,closing_wealth_brl,turnover,weights_at_decision,known_snapshot_count,factor,target_equity_weight,mvo_eligible_net_return,mvo_turnover,mvo_equity_gain_rate,mvo_cash_weight,equity_gain_rate,cash_weight,cdi_net_return,eligible_universe_size,priced_universe_size,benchmark_IBOVESPA,benchmark_BOVA11,realised_share_for_tax,tax_rate,net_return_after_tax,mvo_realised_share_for_tax,mvo_tax_rate,mvo_net_return_after_tax,cdi_net_return_after_tax
2012,2012-01-02,2013-01-02,0.16285992232755842,719.6652143820262,0.0007196652143820261,0.1621402571131764,1000000.0,1162140.2571131764,0.24999999999910505,AMBV3.SA:20.52% | AMBV4.SA:24.00% | CMIG3.SA:24.00% | HGTX3.SA:6.48% | TITULO_CDI:25.00%,103,value_quality,0.7500000000008948,0.06964367190984522,5.612935259880221e-09,0.07057773880370521,5.612935259880221e-09,0.16285992232755864,0.24999999999910505,0.0,27,103,0.028465367417531473,0.04664211650619454,0.3050128028904471,0.007451154208147374,0.15468910290502902,0.5960938754806261,0.0063106436769240016,0.06333302823292121,0.0
2013,2013-01-02,2014-01-02,0.08645327253306334,1161.0419530907939,0.0009990549298884875,0.08545421760317486,1162140.2571131764,1261450.0435299354,0.6100256057808942,AMBV3.SA:24.00% | GRND3.SA:24.00% | LEVE3.SA:24.00% | SBSP3.SA:3.00% | TITULO_CDI:25.00%,126,value_quality,0.7499999999876552,0.08239125131332517,1.1921877509612522,0.08434056574520188,6.622154545579907e-11,0.06646330880419726,0.2500000000123448,0.07995985491151636,23,126,-0.17654676258992807,-0.18002282841339912,0.63351111974373,0.008531963030827395,0.07692225457234746,0.9533465913787005,0.012060868631104315,0.07033038268222086,0.065966880302001
2014,2014-01-02,2015-01-02,0.10760725612499145,1556.753125910705,0.0015516096230462659,0.10605564650194518,1261450.0435299354,1395233.9434264095,1.26702223948746,CESP6.SA:24.00% | CIEL3.SA:3.00% | MDIA3.SA:24.00% | PSSA3.SA:24.00% | TITULO_CDI:25.00%,148,value_quality,0.7499999992320023,0.02332540601897454,1.906693182757401,0.02522794188961086,5.459598879607333e-09,0.08079498376650562,0.25000000076799767,0.10724908910447484,26,148,-0.006634750998192329,-0.011002463231076454,0.5951864591228537,0.010005914798496062,0.09604973170344912,0.8439033250041608,0.0031934916930220626,0.020131914325952478,0.08848049851119175
2015,2015-01-02,2016-01-04,-0.0651380479381859,1840.7537292300685,0.0013193154724357933,-0.0664573634106217,1395233.9434264095,1302510.374205286,1.1903729182457075,BBSE3.SA:24.00% | BRSR6.SA:0.58% | CIEL3.SA:8.56% | CMIG4.SA:8.25% | ITUB3.SA:8.37% | VLID3.SA:9.02% | WEGE3.SA:16.22% | TITULO_CDI:25.00%,170,value_quality,0.7499999999062488,-0.010477354080607742,1.6878066500083215,-0.035099728425265875,0.1995413189104608,-0.09796450309435434,0.2500000000937512,0.1313058205754336,30,170,-0.10640666226912932,-0.1085484010921044,0.7499999991858657,0.004308472234570212,-0.07076583564519191,0.7722308735757282,0.0035408051303113244,-0.014018159210919066,0.10832730197473273
2016,2016-01-04,2017-01-02,0.5144544110026406,2470.642105318774,0.0018968310382271383,0.5125575799644134,1302510.374205286,1970121.9394864899,1.4999999983717314,ABEV3.SA:13.74% | ENBR3.SA:24.00% | SANB3.SA:24.00% | SANB4.SA:13.26% | TITULO_CDI:25.00%,179,value_quality,0.7499999993722354,0.23858122349564095,1.5444617471514563,0.1461848653850581,0.673297648655599,0.479750583266057,0.2500000006277646,0.13881531059776075,27,179,0.4291782349730666,0.41703172361765506,0.5651810915090104,0.044104334512307185,0.46845324545210626,0.8954845644246727,0.03428267169090688,0.20429855180473408,0.11452263124315262
2017,2017-01-02,2018-01-02,0.2679002866778908,2972.2404045563867,0.001508658091161191,0.2663916285867296,1970121.9394864899,2494945.9314607424,1.1303621830180208,BRSR6.SA:1.63% | CVCB3.SA:1.37% | FLRY3.SA:24.00% | SANB3.SA:24.00% | SAPR4.SA:24.00% | TITULO_CDI:25.00%,184,value_quality,0.7499999999528947,0.21639719298651006,1.7909691288493454,0.21769379893098906,8.568825923847582e-11,0.2432259173823057,0.2500000000471053,0.09869747716374411,33,184,0.28214938998808514,0.28093004210729355,0.4628686398859114,0.01888592099184342,0.2475057075948862,0.7661765797553648,0.025018783545968544,0.19137840944054152,0.08142541866008889
2018,2018-01-02,2019-01-02,0.057793483543565394,14461.466318045099,0.005796304495444098,0.051997179048121296,2494945.9314607424,2624676.0817742883,0.9257372797718229,BPAC3.SA:20.64% | BRSR3.SA:20.64% | GRND3.SA:10.18% | QUAL3.SA:0.72% | SAPR3.SA:22.82% | TITULO_CDI:25.00%,169,value_quality,0.7499999999789727,-0.16150399654981623,1.5323531595107296,-0.15861229749889794,3.708808571192625e-10,0.041875890244018166,0.25000000002102735,0.06367037319283275,34,169,0.12833318355137302,0.12649800523329735,0.6299999988505142,0.005712186278912429,0.04628499276920887,0.6378126348476829,2.635742505233394e-12,-0.16150399655245198,0.05252805788408702
2019,2019-01-02,2020-01-02,0.1839283656331301,13242.057194368504,0.005045215783525316,0.17888314984960477,2624676.0817742883,3094186.406616992,1.2599999977010283,BRSR6.SA:6.33% | IRBR3.SA:24.00% | SANB4.SA:1.69% | SLCE3.SA:18.98% | UNIP6.SA:24.00% | TITULO_CDI:25.00%,182,value_quality,0.7499999999725717,0.3539841318925565,1.2756252696953658,0.3572790364344589,7.154159809928982e-11,0.16913916311613764,0.25000000002742817,0.059156810061480325,36,182,0.27416164901331697,0.265415260819831,0.5363469389764299,0.014995715972237339,0.16388743387736743,0.8102543378405136,0.04342303336417498,0.31056109852838154,0.04880436830072127
2020,2020-01-02,2021-01-04,0.08472406044176917,18234.75951029905,0.005893232376466905,0.07883082806530226,3094186.406616992,3338103.6832390116,1.0726938779528599,BPAC3.SA:24.00% | BPAN4.SA:24.00% | CGAS5.SA:24.00% | QUAL3.SA:3.00% | TITULO_CDI:25.00%,235,value_quality,0.7500000000016281,0.1052894190534585,1.6205086756810272,0.11058985012832179,2.293917525076533e-11,0.07789259685001437,0.24999999999837208,0.027325854367195923,55,235,0.006181845782766704,0.0035889676976212925,0.6187471281908309,0.007969089075020088,0.07086173899028217,0.7898361952778139,0.013102179969341243,0.09218723908411726,0.022543829852936636
2021,2021-01-04,2022-01-03,0.3953828322382027,22727.890167660185,0.006808623195792103,0.3885742090424106,3338103.6832390116,4635204.6816551685,1.2374942563816618,BPAC3.SA:2.45% | BSLI3.SA:24.00% | CGAS3.SA:4.74% | UNIP6.SA:19.81% | WEGE3.SA:24.00% | TITULO_CDI:25.00%,259,value_quality,0.7499999999716503,0.1371989218701673,1.5796723905556278,0.12858247584496252,0.3060401624797936,0.3844339570603891,0.25000000002834966,0.04379550070628846,48,259,-0.11585890450243763,-0.1164869288519651,0.5861798261477762,0.03492526622318687,0.3536489428192237,0.699974226344471,0.015142492217704641,0.12205642965246266,0.03613128808268798
