decision_year,decision_date,ticker,previous_weight,new_weight,reason,decision_action,factor
2015,2015-01-02,ABEV3.SA,0.0,0.12,entered_after_point_in_time_screen,entered,triple_factor
2015,2015-01-02,BBSE3.SA,0.0,0.12,entered_after_point_in_time_screen,entered,triple_factor
2015,2015-01-02,CMIG4.SA,0.0,0.12,entered_after_point_in_time_screen,entered,triple_factor
2015,2015-01-02,ITUB4.SA,0.0,0.12,entered_after_point_in_time_screen,entered,triple_factor
2015,2015-01-02,TITULO_CDI,0.0,0.52,defensive_residual_adjustment,entered,triple_factor
2016,2016-01-04,ABEV3.SA,0.1453034018448979,0.12,rebalanced_after_point_in_time_review,reduced,triple_factor
2016,2016-01-04,BBSE3.SA,0.10135684998442371,0.12,rebalanced_after_point_in_time_review,increased,triple_factor
2016,2016-01-04,BRSR6.SA,0.0,0.12,entered_after_point_in_time_screen,entered,triple_factor
2016,2016-01-04,CMIG4.SA,0.05913367794083519,0.12,rebalanced_after_point_in_time_review,increased,triple_factor
2016,2016-01-04,ITUB4.SA,0.10764106705541122,0.0,removed_by_constrained_allocator,exited,triple_factor
2016,2016-01-04,TITULO_CDI,0.5865650031744319,0.52,defensive_residual_adjustment,reduced,triple_factor
2017,2017-01-02,ABEV3.SA,0.0920906257264198,0.0,removed_by_constrained_allocator,exited,triple_factor
2017,2017-01-02,BBSE3.SA,0.12293749240055267,0.12,rebalanced_after_point_in_time_review,reduced,triple_factor
2017,2017-01-02,BRSR6.SA,0.18540870984600866,0.0,removed_or_blocked_by_eligibility,exited,triple_factor
2017,2017-01-02,CMIG4.SA,0.13943526771002834,0.12,rebalanced_after_point_in_time_review,reduced,triple_factor
2017,2017-01-02,CVCB3.SA,0.0,0.12,entered_after_point_in_time_screen,entered,triple_factor
2017,2017-01-02,SAPR4.SA,0.0,0.12,entered_after_point_in_time_screen,entered,triple_factor
2017,2017-01-02,TITULO_CDI,0.46012790431699047,0.52,defensive_residual_adjustment,increased,triple_factor
2018,2018-01-02,BBSE3.SA,0.109297589718678,0.12,rebalanced_after_point_in_time_review,increased,triple_factor
2018,2018-01-02,CMIG4.SA,0.09672535005958831,0.0,removed_or_blocked_by_eligibility,exited,triple_factor
2018,2018-01-02,CVCB3.SA,0.20281230637540315,0.12,rebalanced_after_point_in_time_review,reduced,triple_factor
2018,2018-01-02,ITSA3.SA,0.0,0.12,entered_after_point_in_time_screen,entered,triple_factor
2018,2018-01-02,MGLU3.SA,0.0,0.12,entered_after_point_in_time_screen,entered,triple_factor
2018,2018-01-02,SAPR4.SA,0.10451710528946144,0.0,removed_by_constrained_allocator,exited,triple_factor
2018,2018-01-02,TITULO_CDI,0.486647648556869,0.52,defensive_residual_adjustment,increased,triple_factor
2019,2019-01-02,BBSE3.SA,0.10092239577756147,0.0,removed_by_constrained_allocator,exited,triple_factor
2019,2019-01-02,BRSR6.SA,0.0,0.12,entered_after_point_in_time_screen,entered,triple_factor
2019,2019-01-02,CSNA3.SA,0.0,0.12,entered_after_point_in_time_screen,entered,triple_factor
2019,2019-01-02,CVCB3.SA,0.11599126007473129,0.0,removed_by_constrained_allocator,exited,triple_factor
2019,2019-01-02,IRBR3.SA,0.0,0.12,entered_after_point_in_time_screen,entered,triple_factor
2019,2019-01-02,ITSA3.SA,0.13633666223870966,0.0,removed_or_blocked_by_eligibility,exited,triple_factor
2019,2019-01-02,MGLU3.SA,0.21464774142506532,0.12,rebalanced_after_point_in_time_review,reduced,triple_factor
2019,2019-01-02,TITULO_CDI,0.4321019404839322,0.52,defensive_residual_adjustment,increased,triple_factor
2020,2020-01-02,BBSE3.SA,0.0,0.12,entered_after_point_in_time_screen,entered,triple_factor
2020,2020-01-02,BRSR6.SA,0.09300740864966349,0.0,removed_by_constrained_allocator,exited,triple_factor
2020,2020-01-02,CMIG3.SA,0.0,0.12,entered_after_point_in_time_screen,entered,triple_factor
2020,2020-01-02,CSNA3.SA,0.15283941120863737,0.0,removed_by_constrained_allocator,exited,triple_factor
2020,2020-01-02,EQTL3.SA,0.0,0.12,entered_after_point_in_time_screen,entered,triple_factor
2020,2020-01-02,IRBR3.SA,0.13488617345553303,0.12,rebalanced_after_point_in_time_review,reduced,triple_factor
2020,2020-01-02,MGLU3.SA,0.1918634958663566,0.0,removed_by_constrained_allocator,exited,triple_factor
2020,2020-01-02,TITULO_CDI,0.42740351081980954,0.52,defensive_residual_adjustment,increased,triple_factor
2021,2021-01-04,BBSE3.SA,0.11413905830346785,0.12,rebalanced_after_point_in_time_review,increased,triple_factor
2021,2021-01-04,CMIG3.SA,0.14727515410641676,0.0,removed_by_constrained_allocator,exited,triple_factor
2021,2021-01-04,CSMG3.SA,0.0,0.12,entered_after_point_in_time_screen,entered,triple_factor
2021,2021-01-04,EQTL3.SA,0.12975020785158708,0.12,rebalanced_after_point_in_time_review,reduced,triple_factor
2021,2021-01-04,IRBR3.SA,0.029017605597146497,0.0,removed_or_blocked_by_eligibility,exited,triple_factor
2021,2021-01-04,TASA4.SA,0.0,0.12,entered_after_point_in_time_screen,entered,triple_factor
2021,2021-01-04,TITULO_CDI,0.5798179741413818,0.52,defensive_residual_adjustment,reduced,triple_factor
2022,2022-01-03,BBSE3.SA,0.08458615316552001,0.0,removed_by_constrained_allocator,exited,triple_factor
2022,2022-01-03,CSMG3.SA,0.09544085853305846,0.0,removed_by_constrained_allocator,exited,triple_factor
2022,2022-01-03,EQTL3.SA,0.11763896164131697,0.0,removed_by_constrained_allocator,exited,triple_factor
2022,2022-01-03,FHER3.SA,0.0,0.12,entered_after_point_in_time_screen,entered,triple_factor
2022,2022-01-03,GOAU4.SA,0.0,0.12,entered_after_point_in_time_screen,entered,triple_factor
2022,2022-01-03,TASA4.SA,0.18223505103033677,0.12,rebalanced_after_point_in_time_review,reduced,triple_factor
2022,2022-01-03,USIM5.SA,0.0,0.12,entered_after_point_in_time_screen,entered,triple_factor
2022,2022-01-03,TITULO_CDI,0.5200989756297677,0.52,defensive_residual_adjustment,reduced,triple_factor
2023,2023-01-02,BRAP4.SA,0.0,0.12,entered_after_point_in_time_screen,entered,triple_factor
2023,2023-01-02,FHER3.SA,0.11827538951964146,0.0,removed_or_blocked_by_eligibility,exited,triple_factor
2023,2023-01-02,GOAU4.SA,0.15593960448184457,0.0,removed_by_constrained_allocator,exited,triple_factor
2023,2023-01-02,KEPL3.SA,0.0,0.12,entered_after_point_in_time_screen,entered,triple_factor
2023,2023-01-02,TASA4.SA,0.07075859493615341,0.0,removed_by_constrained_allocator,exited,triple_factor
2023,2023-01-02,UNIP6.SA,0.0,0.12,entered_after_point_in_time_screen,entered,triple_factor
2023,2023-01-02,USIM5.SA,0.06148894973904418,0.0,removed_by_constrained_allocator,exited,triple_factor
2023,2023-01-02,VIVA3.SA,0.0,0.12,entered_after_point_in_time_screen,entered,triple_factor
2023,2023-01-02,TITULO_CDI,0.5935374613233164,0.52,defensive_residual_adjustment,reduced,triple_factor
2024,2024-01-02,BBSE3.SA,0.0,0.12,entered_after_point_in_time_screen,entered,triple_factor
2024,2024-01-02,BRAP4.SA,0.10011155505078875,0.0,removed_by_constrained_allocator,exited,triple_factor
2024,2024-01-02,CMIN3.SA,0.0,0.12,entered_after_point_in_time_screen,entered,triple_factor
2024,2024-01-02,KEPL3.SA,0.12598464042930263,0.12,rebalanced_after_point_in_time_review,reduced,triple_factor
2024,2024-01-02,UNIP6.SA,0.0966649630615172,0.0,removed_by_constrained_allocator,exited,triple_factor
2024,2024-01-02,VIVA3.SA,0.17303810317928023,0.12,rebalanced_after_point_in_time_review,reduced,triple_factor
2024,2024-01-02,TITULO_CDI,0.5042007382791112,0.52,defensive_residual_adjustment,increased,triple_factor
