date,decision_year,strategy,mvo,cdi,equity_sleeve,IBOVESPA,BOVA11
2013-01-03,2013,100.720318,100.070628,100.026555,101.371287,101.218225,101.060874
2013-01-04,2013,99.646142,100.594832,100.053155,99.396476,99.956835,100.081605
2013-01-07,2013,98.895014,99.405332,100.079724,98.009052,99.013589,99.151297
2013-01-08,2013,98.38447,99.680386,100.106263,97.059075,97.726619,97.780316
2013-01-09,2013,99.190744,101.269473,100.132772,98.50334,98.447642,98.335237
2013-01-10,2013,99.211019,99.845439,100.159326,98.518477,98.605915,98.726948
2013-01-11,2013,98.98305,99.882128,100.185923,98.082226,98.316547,98.416841
2013-01-14,2013,99.160698,99.878974,100.212565,98.383425,99.2502,99.151297
2013-01-15,2013,99.083607,99.49457,100.239252,98.221425,98.685851,98.77591
2013-01-16,2013,99.441563,100.764138,100.265946,98.850413,98.780176,98.808553
2013-01-17,2013,99.957769,100.626879,100.292647,99.767123,99.430855,99.575645
2013-01-18,2013,100.120002,101.183353,100.319279,100.040304,99.05036,99.216583
2013-01-21,2013,100.251014,101.783483,100.345957,100.256679,98.960831,99.151297
2013-01-22,2013,100.332664,101.981814,100.372642,100.3833,98.628297,99.151297
2013-01-23,2013,99.795674,101.40915,100.399334,99.385116,99.066347,99.249226
2013-01-24,2013,99.52476,100.670852,100.426033,98.870701,97.793765,97.780316
2013-01-28,2013,98.806068,99.700291,100.479527,97.52022,95.966427,96.115552
2013-01-29,2013,98.878635,98.871531,100.506322,97.630236,96.572342,96.833689
2013-01-30,2013,98.505918,99.30872,100.533124,96.93064,94.863309,94.793539
2013-01-31,2013,99.110781,100.880498,100.559934,98.008456,95.541167,95.789127
2013-02-01,2013,99.624707,101.032374,100.58675,98.920927,96.484412,96.393016
2013-02-04,2013,99.56767,100.456387,100.613611,98.795246,95.245404,95.315817
2013-02-05,2013,99.379971,100.713559,100.640478,98.431992,95.035971,94.924105
2013-02-06,2013,99.234471,101.247838,100.667353,98.145458,94.246203,94.320223
2013-02-07,2013,98.628468,100.986158,100.694198,97.021671,93.320544,93.340947
2013-02-08,2013,99.119676,100.313563,100.721051,97.892806,93.521982,93.37359
2013-02-13,2013,99.092994,99.716194,100.74791,97.822318,93.3749,93.47152
2013-02-14,2013,99.000903,99.379463,100.774739,97.632928,92.848921,92.998203
2013-02-15,2013,99.858429,99.007095,100.801575,99.170109,92.570743,92.541212
2013-02-18,2013,100.089414,98.488309,100.828419,99.56812,92.108713,92.133182
2013-02-19,2013,99.934558,98.209234,100.855232,99.264625,91.629097,91.561936
2013-02-20,2013,99.525781,97.352199,100.882127,98.49939,89.81295,89.472824
2013-02-21,2013,99.06369,97.737177,100.909029,97.637213,89.776179,89.489149
2013-02-22,2013,99.632584,98.980213,100.935976,98.649519,90.642686,90.468418
2013-02-25,2013,99.850121,98.805188,100.963079,99.022864,90.516387,90.239922
2013-02-26,2013,100.031802,98.651761,100.990115,99.331074,91.045564,91.104944
2013-02-27,2013,99.975186,98.303889,101.017158,99.206009,91.565148,91.610904
2013-02-28,2013,100.537283,99.284958,101.044209,100.205872,91.804956,91.627222
2013-03-01,2013,100.580269,99.274394,101.071266,100.261889,90.941647,91.039658
2013-03-04,2013,100.343355,98.109427,101.098369,99.808963,90.326139,90.256241
2013-03-05,2013,100.150691,98.271072,101.125478,99.436483,89.45004,89.603397
2013-03-06,2013,101.447897,99.394006,101.152595,101.772854,92.629896,92.459607
2013-03-07,2013,101.937017,98.239137,101.179719,102.639971,94.079936,93.977479
2013-03-08,2013,102.02021,98.202826,101.20685,102.769032,93.418066,93.275667
2013-03-11,2013,102.026809,98.712438,101.233989,102.758826,93.597122,93.895868
2013-03-12,2013,101.47282,99.992789,101.261135,101.729363,93.059952,93.06349
2013-03-13,2013,101.009152,99.815985,101.288288,100.864114,91.744205,91.627222
2013-03-14,2013,101.217049,99.704343,101.315449,101.219887,91.576339,91.480331
2013-03-15,2013,101.258608,98.828972,101.342616,101.273219,90.917666,90.794844
2013-03-18,2013,101.385269,98.632906,101.369791,101.481279,91.083933,91.007015
2013-03-19,2013,100.900896,98.46152,101.396974,100.57836,90.105516,90.011427
2013-03-20,2013,99.251068,98.521687,101.424163,97.556426,89.576339,89.53811
2013-03-21,2013,99.477665,96.854098,101.45136,97.946169,88.852118,88.88526
2013-03-22,2013,99.304119,95.889213,101.478564,97.608374,88.318145,88.558835
2013-03-25,2013,98.679994,96.717015,101.505776,96.451337,87.726619,87.759099
2013-03-26,2013,99.393698,96.575588,101.532995,97.726711,89.002398,89.064794
2013-03-27,2013,99.963031,97.565557,101.560221,98.739585,89.582734,89.636034
2013-03-28,2013,100.545917,98.814339,101.587529,99.777036,90.091127,89.929816
2013-04-01,2013,100.412419,97.695278,101.614883,99.511932,89.371703,89.440181
2013-04-02,2013,99.900279,98.070367,101.642243,98.558382,87.752198,87.726456
2013-04-03,2013,100.337,98.163075,101.669574,99.330059,88.829736,88.868941
2013-04-04,2013,99.823645,97.001757,101.696912,98.374317,87.366906,87.318426
2013-04-05,2013,100.030597,97.107134,101.724257,98.728221,88.011191,88.265059
2013-04-08,2013,100.069958,97.767143,101.75161,98.777408,88.076739,88.052881
2013-04-09,2013,101.266964,98.355167,101.77897,100.931395,89.38769,89.325933
2013-04-10,2013,101.7069,99.387905,101.806337,101.708888,89.827338,89.782925
2013-04-11,2013,101.154969,97.562755,101.833712,100.682979,88.570743,88.379307
2013-04-12,2013,100.974074,97.142147,101.861094,100.331676,87.870504,87.693813
2013-04-15,2013,100.112364,95.512491,101.888483,98.742521,84.652278,84.788641
2013-04-16,2013,100.865895,97.002584,101.915843,100.090194,86.316547,86.290189
2013-04-17,2013,100.165808,96.851984,101.943209,98.794917,84.543565,84.576464
2013-04-18,2013,100.364404,96.886438,101.97149,99.132861,84.997602,84.935532
2013-04-19,2013,101.23675,97.49407,101.999779,100.695799,86.217426,86.061693
2013-04-22,2013,101.271403,97.638344,102.028076,100.735653,86.807354,86.763505
2013-04-23,2013,101.889865,98.253384,102.05638,101.836971,87.745803,87.628527
2013-04-24,2013,101.510029,97.391462,102.084693,101.123195,87.904077,87.759099
2013-04-25,2013,101.532323,98.955286,102.113013,101.140558,87.870504,87.889666
2013-04-26,2013,101.043557,98.175018,102.141304,100.228747,86.733813,86.665575
2013-04-29,2013,98.947755,97.289743,102.169602,96.395044,87.749001,87.726456
2013-04-30,2013,100.655186,99.355574,102.197908,99.476305,89.384492,88.868941
2013-05-02,2013,100.534265,99.936101,102.226222,99.233283,88.444444,88.216091
2013-05-03,2013,100.814178,100.480648,102.254544,99.719043,88.709832,88.379307
2013-05-06,2013,100.518649,100.281473,102.282911,99.158508,88.617106,88.575159
2013-05-07,2013,101.170873,101.783208,102.311286,100.321154,89.968026,90.076707
2013-05-08,2013,101.395048,101.881991,102.339632,100.705552,89.216627,89.276971
2013-05-09,2013,101.569146,103.027949,102.368023,100.998865,88.645883,88.542516
2013-05-10,2013,101.607653,101.79475,102.396384,101.045673,88.102318,87.987595
2013-05-13,2013,101.121571,101.438322,102.424715,100.138708,87.047162,86.992001
2013-05-14,2013,101.43838,101.808001,102.453054,100.691538,87.397282,87.334744
2013-05-15,2013,101.43932,103.440157,102.481401,100.670055,87.827338,87.726456
2013-05-16,2013,101.096454,104.015063,102.509755,100.023462,87.566747,87.595883
2013-05-17,2013,101.326533,104.624743,102.538117,100.418582,88.191847,88.199772
2013-05-20,2013,101.943447,104.342787,102.566488,101.517032,89.05036,89.064794
2013-05-21,2013,102.35723,105.090259,102.594866,102.246147,89.952038,89.880854
2013-05-22,2013,102.787553,106.608854,102.623252,103.005327,90.214229,90.35417
2013-05-23,2013,102.327483,105.625578,102.651646,102.145605,90.08793,90.10935
2013-05-24,2013,102.343808,105.611067,102.680047,102.15205,90.177458,90.321527
2013-05-27,2013,102.184427,105.084414,102.708457,101.83902,90.161471,90.337846
2013-05-28,2013,102.407194,104.948441,102.736874,102.220801,89.585931,89.440181
2013-05-29,2013,101.490845,104.632854,102.765299,100.531455,87.346123,87.269464
2013-05-31,2013,101.336708,103.296472,102.79563,100.22639,85.541167,85.604701
2013-06-03,2013,101.525882,102.385796,102.825969,100.54552,86.241407,86.094336
2013-06-04,2013,101.222972,102.095689,102.856317,99.969945,86.359712,86.27387
2013-06-05,2013,100.220334,100.851835,102.886674,98.122128,84.410871,84.445897
2013-06-06,2013,99.885216,100.233648,102.91704,97.487978,84.548361,84.609107
2013-06-07,2013,99.001864,99.166628,102.947415,95.857032,82.52438,82.519995
2013-06-10,2013,99.066345,98.06795,102.977798,95.94941,82.041567,81.916106
2013-06-11,2013,97.698415,96.359302,103.008191,93.437399,79.568345,79.484251
2013-06-12,2013,97.412931,95.859229,103.038593,92.893462,78.626699,78.717152
2013-06-13,2013,98.212091,96.376159,103.069004,94.321599,80.59952,80.643054
2013-06-14,2013,97.653848,95.418093,103.099424,93.281724,78.868106,78.92933
2013-06-17,2013,98.170685,96.361125,103.129853,94.196531,78.479616,78.586586
2013-06-18,2013,98.393253,95.958613,103.16029,94.576295,79.080735,78.913005
2013-06-19,2013,97.399548,92.546755,103.190737,92.744649,76.567546,76.693327
2013-06-20,2013,96.449526,90.143567,103.221193,90.992416,77.080735,77.248248
2013-06-21,2013,96.625746,88.133147,103.251657,91.287892,75.229416,75.387626
2013-06-24,2013,95.281738,86.284837,103.282131,88.819308,73.485212,73.641258
2013-06-25,2013,95.95555,88.15407,103.312614,90.019479,74.968825,75.077525
2013-06-26,2013,96.278503,90.981301,103.343106,90.58172,75.414868,75.387626
2013-06-27,2013,97.280773,92.354237,103.373606,92.379074,76.113509,76.285297
2013-06-28,2013,98.094811,91.737545,103.404116,93.83418,75.870504,75.893585
2013-07-01,2013,98.498036,90.281523,103.434635,94.542347,75.507594,75.714051
2013-07-02,2013,97.078593,87.344145,103.465162,91.936563,72.308553,72.13971
2013-07-03,2013,96.836555,86.364443,103.495699,91.471511,72.01279,71.764323
2013-07-04,2013,97.269783,87.619503,103.526245,92.234205,73.16227,73.380119
2013-07-05,2013,97.012497,86.502296,103.556799,91.741414,72.278177,72.449811
2013-07-08,2013,97.068303,86.65367,103.587363,91.817872,72.063949,72.107067
2013-07-10,2013,97.604787,86.757462,103.648518,92.743263,72.714628,72.661988
2013-07-11,2013,98.701648,88.799773,103.681015,94.710967,74.541966,74.718457
2013-07-12,2013,98.123551,87.666637,103.713522,93.633284,72.794564,72.95577
2013-07-15,2013,98.912778,89.683435,103.746039,95.041638,74.722622,74.767425
2013-07-16,2013,99.017425,89.785175,103.778567,95.205291,74.930456,75.273378
2013-07-17,2013,99.072901,89.820359,103.811104,95.279535,75.790568,76.007833
2013-07-18,2013,99.196644,90.389393,103.843652,95.477892,76.190248,76.138406
2013-07-19,2013,98.996888,89.768159,103.87621,95.088061,75.779376,75.958871
2013-07-22,2013,99.913294,91.274142,103.908779,96.727606,77.656275,77.901092
2013-07-23,2013,100.230614,91.063349,103.941357,97.277898,78.04956,78.064308
2013-07-24,2013,99.905426,90.591988,103.973946,96.659983,77.336531,77.460419
2013-07-25,2013,100.33182,90.919973,104.006545,97.408572,78.444444,78.570261
2013-07-26,2013,100.320131,91.038852,104.039154,97.36064,79.01199,79.141507
2013-07-29,2013,100.033218,90.153697,104.071773,96.812291,78.676259,78.766114
2013-07-30,2013,100.047588,91.014451,104.104403,96.811721,77.63709,77.656278
2013-07-31,2013,100.097948,91.561388,104.137043,96.87658,77.11271,77.231923
2013-08-01,2013,100.591707,91.280978,104.16973,97.747579,78.56275,78.717152
2013-08-02,2013,100.306372,90.653423,104.202428,97.202035,77.496403,77.476744
2013-08-05,2013,100.154799,89.584001,104.235099,96.899718,77.435651,77.60731
2013-08-06,2013,99.15406,89.35754,104.26778,95.053454,75.814548,75.763013
2013-08-07,2013,99.561944,88.746453,104.300471,95.768313,75.854516,76.024158
2013-08-08,2013,100.428348,89.190684,104.333172,97.316838,78.223821,78.504975
2013-08-09,2013,100.716404,89.836184,104.365884,97.813811,79.736211,79.859638
2013-08-12,2013,101.032699,89.53064,104.398605,98.362121,80.414069,80.643054
2013-08-13,2013,101.575715,89.8252,104.431338,99.322642,80.896882,81.034766
2013-08-14,2013,101.053696,88.619615,104.46408,98.346727,81.368505,81.116371
2013-08-15,2013,100.790482,87.903569,104.496833,97.841359,81.38769,81.540719
2013-08-16,2013,100.863839,88.50988,104.529595,97.94793,82.396483,82.536314
2013-08-19,2013,100.770498,87.556446,104.562369,97.751405,82.452438,82.748491
2013-08-20,2013,99.82469,86.605816,104.595152,96.00493,80.746603,81.002123
2013-08-21,2013,99.717248,85.925882,104.627946,95.782749,80.583533,80.724659
2013-08-22,2013,100.201495,86.13551,104.66075,96.636359,82.171063,82.291493
2013-08-23,2013,100.87024,86.951575,104.693564,97.825411,83.448441,83.482946
2013-08-26,2013,100.333011,86.149192,104.726389,96.821776,82.220624,82.536314
2013-08-27,2013,99.697072,84.933614,104.759223,95.638657,80.083133,80.349272
2013-08-28,2013,99.22134,84.688207,104.792069,94.746816,79.723421,80.283986
2013-08-29,2013,99.802172,86.50128,104.826841,95.774425,79.811351,80.071815
2013-08-30,2013,100.534418,87.866309,104.861624,97.077322,79.948841,80.789946
2013-09-02,2013,100.943244,88.544562,104.89642,97.792174,82.869704,82.356779
2013-09-03,2013,100.132048,87.872719,104.931226,96.288794,82.535572,82.373104
2013-09-04,2013,100.135124,88.737341,104.966045,96.265898,82.679456,82.438384
2013-09-05,2013,100.423152,90.356271,105.000874,96.761089,83.696243,83.401335
2013-09-06,2013,100.814646,90.723683,105.035716,97.44439,85.929656,86.306513
2013-09-09,2013,101.886075,91.554945,105.070569,99.363925,86.733813,86.518684
2013-09-10,2013,102.150119,91.693376,105.105433,99.815481,86.297362,86.257545
2013-09-11,2013,102.148362,90.677553,105.140309,99.783751,85.643485,85.506772
2013-09-12,2013,101.709138,91.462011,105.175197,98.956617,85.223022,85.180346
2013-09-13,2013,101.856666,91.96823,105.210096,99.196297,86.007994,86.224908
2013-09-16,2013,102.117945,92.266485,105.245007,99.642785,86.046363,85.653663
2013-09-17,2013,102.308826,92.181721,105.279929,99.96127,86.764189,86.894077
2013-09-18,2013,102.762662,94.039942,105.314863,100.757844,89.053557,89.211685
2013-09-19,2013,102.93334,95.126606,105.349771,101.039606,88.083133,87.889666
2013-09-20,2013,102.191497,94.855676,105.384651,99.662262,86.506795,86.502366
2013-09-23,2013,102.815441,95.414414,105.419543,100.768158,87.293365,87.171535
2013-09-24,2013,102.684221,95.807794,105.454447,100.501019,87.019984,87.073605
