date,decision_year,strategy,mvo,cdi,equity_sleeve,IBOVESPA,BOVA11
2013-01-03,2013,101.097163,100.070628,100.026555,101.23771,101.218225,101.060874
2013-01-04,2013,99.458591,100.594832,100.053155,99.511497,99.956835,100.081605
2013-01-07,2013,98.215022,99.405332,100.079724,98.201079,99.013589,99.151297
2013-01-08,2013,97.542539,99.680386,100.106263,97.491805,97.726619,97.780316
2013-01-09,2013,98.708602,101.269473,100.132772,98.717845,98.447642,98.335237
2013-01-10,2013,98.709013,99.845439,100.159326,98.71688,98.605915,98.726948
2013-01-11,2013,98.432596,99.882128,100.185923,98.424515,98.316547,98.416841
2013-01-14,2013,98.931798,99.878974,100.212565,98.948589,99.2502,99.151297
2013-01-15,2013,98.924519,99.49457,100.239252,98.939521,98.685851,98.77591
2013-01-16,2013,99.475807,100.764138,100.265946,99.51842,98.780176,98.808553
2013-01-17,2013,100.291011,100.626879,100.292647,100.375124,99.430855,99.575645
2013-01-18,2013,100.471332,101.183353,100.319279,100.563534,99.05036,99.216583
2013-01-21,2013,100.734202,101.783483,100.345957,100.838835,98.960831,99.151297
2013-01-22,2013,100.624844,101.981814,100.372642,100.722317,98.628297,99.151297
2013-01-23,2013,100.055499,101.40915,100.399334,100.121602,99.066347,99.249226
2013-01-24,2013,99.504804,100.670852,100.426033,99.540518,97.793765,97.780316
2013-01-28,2013,98.104957,99.700291,100.479527,98.064179,95.966427,96.115552
2013-01-29,2013,98.173441,98.871531,100.506322,98.134857,96.572342,96.833689
2013-01-30,2013,97.44127,99.30872,100.533124,97.36274,94.863309,94.793539
2013-01-31,2013,98.538553,100.880498,100.559934,98.516364,95.541167,95.789127
2013-02-01,2013,99.582776,101.032374,100.58675,99.614134,96.484412,96.393016
2013-02-04,2013,99.466745,100.456387,100.613611,99.490583,95.245404,95.315817
2013-02-05,2013,99.460797,100.713559,100.640478,99.482908,95.035971,94.924105
2013-02-06,2013,99.084436,101.247838,100.667353,99.085324,94.246203,94.320223
2013-02-07,2013,97.918798,100.986158,100.694198,97.856924,93.320544,93.340947
2013-02-08,2013,98.80633,100.313563,100.721051,98.789754,93.521982,93.37359
