decision_year,decision_date,ticker,weight,previous_weight,decision_action,factor,value_quality_score,factor_signal_at_decision,trailing_12m_return_at_decision,trailing_12m_volatility_at_decision,eligible_at_decision,fundamental_status,decision_rationale,realised_next_year_return
2015,2015-01-02,ITUB4.SA,0.11999999563137674,0.0,entered,momentum_12m,0.6666666666666666,0.5,0.26164115088013706,0.3375384768184513,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.10037020901490024
2015,2015-01-02,BBDC4.SA,0.11999999738523584,0.0,entered,momentum_12m,0.8888888888888888,0.75,0.26816447747322414,0.36278319711022533,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.2833163395698285
2015,2015-01-02,TITULO_CDI,0.7599999814410571,0.0,entered,momentum_12m,,,,,True,CDI residual,"Defensive residual after equity, issuer and eligibility constraints.",0.12954569629278212
2016,2016-01-04,TITULO_CDI,0.9999999985726343,0.0,entered,momentum_12m,,,,,True,CDI residual,"Defensive residual after equity, issuer and eligibility constraints.",0.13821818995312585
2017,2017-01-02,ITUB4.SA,0.11999999981482064,0.0,entered,momentum_12m,0.6666666666666666,0.0,0.4900563000832405,0.3570309344675649,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.31758760914980355
2017,2017-01-02,BBDC4.SA,0.11999999997026212,0.0,entered,momentum_12m,1.0,0.25,0.7261177491703599,0.4191838663192432,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.3437502643972494
2017,2017-01-02,BBAS3.SA,0.12000000000123986,0.0,entered,momentum_12m,0.3333333333333333,0.75,0.9793404159895769,0.5606428355822141,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.19182088556863275
2017,2017-01-02,TITULO_CDI,0.6400000001928564,0.0,entered,momentum_12m,,,,,True,CDI residual,"Defensive residual after equity, issuer and eligibility constraints.",0.10022611215747501
2018,2018-01-02,ITUB4.SA,0.11999999760220129,0.0,entered,momentum_12m,0.7777777777777777,-0.25,0.2640544677502641,0.24051973071285426,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.295105004157717
2018,2018-01-02,BBDC4.SA,0.1199999965865728,0.0,entered,momentum_12m,0.7777777777777777,0.0,0.2891518028253717,0.2633690915452753,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.2616934733888068
2018,2018-01-02,TITULO_CDI,0.7599994386868584,0.0,entered,momentum_12m,,,,,True,CDI residual,"Defensive residual after equity, issuer and eligibility constraints.",0.06288552611006737
