decision_year,decision_date,ticker,previous_weight,new_weight,reason,decision_action,factor
2015,2015-01-02,BBDC4.SA,0.0,0.06999752123167527,entered_after_point_in_time_screen,entered,momentum_12m
2015,2015-01-02,BBSE3.SA,0.0,0.11999999980085298,entered_after_point_in_time_screen,entered,momentum_12m
2015,2015-01-02,CIEL3.SA,0.0,0.11999998880472586,entered_after_point_in_time_screen,entered,momentum_12m
2015,2015-01-02,ITUB3.SA,0.0,2.4880836824715253e-06,entered_after_point_in_time_screen,entered,momentum_12m
2015,2015-01-02,VLID3.SA,0.0,0.11999999978450475,entered_after_point_in_time_screen,entered,momentum_12m
2015,2015-01-02,WEGE3.SA,0.0,0.11999999856397994,entered_after_point_in_time_screen,entered,momentum_12m
2015,2015-01-02,TITULO_CDI,0.0,0.4500000000613784,defensive_residual_adjustment,entered,momentum_12m
2016,2016-01-04,ABEV3.SA,1.6827957860908897e-11,0.11999999689260533,entered_after_point_in_time_screen,entered,momentum_12m
2016,2016-01-04,BBDC4.SA,0.04978377287486918,0.0,removed_by_constrained_allocator,exited,momentum_12m
2016,2016-01-04,BBSE3.SA,0.10087837188362059,0.0,removed_by_constrained_allocator,exited,momentum_12m
2016,2016-01-04,CIEL3.SA,0.1030816756155649,0.0,removed_by_constrained_allocator,exited,momentum_12m
2016,2016-01-04,ENBR3.SA,0.0,0.11999999989197972,entered_after_point_in_time_screen,entered,momentum_12m
2016,2016-01-04,ITUB3.SA,2.273014821431188e-06,5.640538310910027e-12,removed_by_constrained_allocator,exited,momentum_12m
2016,2016-01-04,SANB3.SA,0.0,0.11999999990417715,entered_after_point_in_time_screen,entered,momentum_12m
2016,2016-01-04,SANB4.SA,0.0,0.1199999996311444,entered_after_point_in_time_screen,entered,momentum_12m
2016,2016-01-04,UGPA3.SA,3.4812599776806756e-11,0.07000000303900387,entered_after_point_in_time_screen,entered,momentum_12m
2016,2016-01-04,VLID3.SA,0.12272496999151253,0.0,removed_or_blocked_by_eligibility,exited,momentum_12m
2016,2016-01-04,WEGE3.SA,0.11832086484676985,5.207540661044325e-11,removed_by_constrained_allocator,exited,momentum_12m
2016,2016-01-04,TITULO_CDI,0.505208068700221,0.4500000001238406,defensive_residual_adjustment,reduced,momentum_12m
2017,2017-01-02,ABEV3.SA,0.08799937918120332,0.0,removed_by_constrained_allocator,exited,momentum_12m
2017,2017-01-02,BBAS3.SA,0.0,0.019991438183841175,entered_after_point_in_time_screen,entered,momentum_12m
2017,2017-01-02,BRSR6.SA,0.0,0.050008558190982676,entered_after_point_in_time_screen,entered,momentum_12m
2017,2017-01-02,ENBR3.SA,0.10692206350483476,0.0,removed_or_blocked_by_eligibility,exited,momentum_12m
2017,2017-01-02,FLRY3.SA,0.0,0.11999999995669704,entered_after_point_in_time_screen,entered,momentum_12m
2017,2017-01-02,PNVL3.SA,0.0,0.11999999997481296,entered_after_point_in_time_screen,entered,momentum_12m
2017,2017-01-02,SANB3.SA,0.22264632936528655,0.11999999996026732,rebalanced_after_point_in_time_review,reduced,momentum_12m
2017,2017-01-02,SANB4.SA,0.13861788900919172,3.321645148264941e-11,removed_by_constrained_allocator,exited,momentum_12m
2017,2017-01-02,SAPR4.SA,0.0,0.11999999997620912,entered_after_point_in_time_screen,entered,momentum_12m
2017,2017-01-02,UGPA3.SA,0.06331672455351262,0.0,removed_by_constrained_allocator,exited,momentum_12m
2017,2017-01-02,TITULO_CDI,0.38049761389613046,0.449999999958174,defensive_residual_adjustment,increased,momentum_12m
2018,2018-01-02,ALPA4.SA,5.2102657083781934e-11,0.07000000244154886,entered_after_point_in_time_screen,entered,momentum_12m
2018,2018-01-02,BBAS3.SA,0.020972053815340334,0.0,removed_by_constrained_allocator,exited,momentum_12m
2018,2018-01-02,BPAC3.SA,0.0,0.11999999998924275,entered_after_point_in_time_screen,entered,momentum_12m
2018,2018-01-02,BRSR3.SA,0.0,0.11999999999681248,entered_after_point_in_time_screen,entered,momentum_12m
2018,2018-01-02,BRSR6.SA,0.06434943251672784,8.29450909047377e-12,removed_by_constrained_allocator,exited,momentum_12m
2018,2018-01-02,FLRY3.SA,0.1834110089942936,1.9734641258515535e-11,removed_by_constrained_allocator,exited,momentum_12m
